GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ISO2-Teorico,com.mohacarlos.ejercicio1,Fecha,28,148,18,32,6,30,19,14,2,6
ISO2-Teorico,com.mohacarlos.ejercicio1,ExcepcionFecha,0,33,1,7,0,19,1,8,0,2
